setting_type,n,total_p,rep,gap_postconv
vary_p,1000,9,1,1.3188322167152364
vary_p,1000,9,2,1.3153908671553722
vary_p,1000,9,3,1.3220367140033318
vary_p,1000,9,4,1.3179200916978289
vary_p,1000,9,5,1.2860156317158271
vary_p,1000,9,6,1.319385031167485
vary_p,1000,9,7,1.3059629065398326
vary_p,1000,9,8,1.3665466213857371
vary_p,1000,9,9,1.347289714486351
vary_p,1000,9,10,1.3036690902285386
vary_p,1000,9,11,1.3317411063288205
vary_p,1000,9,12,1.2836965350623473
vary_p,1000,9,13,1.2926096959855045
vary_p,1000,9,14,1.2751678194220517
vary_p,1000,9,15,1.2989602164165603
vary_p,1000,9,16,1.2646525576726049
vary_p,1000,9,17,1.288188189603261
vary_p,1000,9,18,1.3087375668509935
vary_p,1000,9,19,1.2969705658156272
vary_p,1000,9,20,1.3424350518657775
vary_p,1000,16,1,2.051920299755807
vary_p,1000,16,2,2.0811980510377452
vary_p,1000,16,3,2.103956533227006
vary_p,1000,16,4,1.9845568962460902
vary_p,1000,16,5,2.1073104063318624
vary_p,1000,16,6,2.027129856551767
vary_p,1000,16,7,2.0111353012062523
vary_p,1000,16,8,2.081135537897353
vary_p,1000,16,9,2.0380554971960314
vary_p,1000,16,10,2.0316411602878475
vary_p,1000,16,11,2.034321905511964
vary_p,1000,16,12,2.0358892262971344
vary_p,1000,16,13,2.0448567536806763
vary_p,1000,16,14,2.062389789064639
vary_p,1000,16,15,2.07469728409842
vary_p,1000,16,16,2.1012171559931025
vary_p,1000,16,17,1.9859831348414332
vary_p,1000,16,18,2.020693518951987
vary_p,1000,16,19,2.076004964286767
vary_p,1000,16,20,2.0702146534958388
vary_p,1000,21,1,2.6825487521993523
vary_p,1000,21,2,2.680832216103795
vary_p,1000,21,3,2.7227911320015323
vary_p,1000,21,4,2.7008275029572246
vary_p,1000,21,5,2.6519068261321195
vary_p,1000,21,6,2.611360375796039
vary_p,1000,21,7,2.7760233946373205
vary_p,1000,21,8,2.687996941284041
vary_p,1000,21,9,2.730648261542001
vary_p,1000,21,10,2.664469383673122
vary_p,1000,21,11,2.7373734897934696
vary_p,1000,21,12,2.7576795689211244
vary_p,1000,21,13,2.8150368866587314
vary_p,1000,21,14,2.750759544245625
vary_p,1000,21,15,2.6487389500717313
vary_p,1000,21,16,2.7400284598074336
vary_p,1000,21,17,2.7408497753602887
vary_p,1000,21,18,2.681644001925747
vary_p,1000,21,19,2.7105782541386247
vary_p,1000,21,20,2.7432189765211206
vary_p,1000,26,1,3.29837878965418
vary_p,1000,26,2,3.184754343198165
vary_p,1000,26,3,3.252692064123039
vary_p,1000,26,4,3.0822227632243653
vary_p,1000,26,5,3.21550171099841
vary_p,1000,26,6,3.24986842550436
vary_p,1000,26,7,3.1755583887077137
vary_p,1000,26,8,3.2326071108145698
vary_p,1000,26,9,3.1838151079857653
vary_p,1000,26,10,3.2043822181453834
vary_p,1000,26,11,3.21163081177095
vary_p,1000,26,12,3.2597005466032747
vary_p,1000,26,13,3.2137242078789163
vary_p,1000,26,14,3.2779652823839456
vary_p,1000,26,15,3.2488520145178654
vary_p,1000,26,16,3.1925409356584473
vary_p,1000,26,17,3.27498036723631
vary_p,1000,26,18,3.1948714958186124
vary_p,1000,26,19,3.3122649494879775
vary_p,1000,26,20,3.212765840712867
